50,SUGAR,BROCKHAMPTON,10326550,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
51,"Know Your Worth",Khalid,10282126,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
52,Muévelo,"Nicky Jam",10271924,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
53,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie",10131859,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
54,"lovely (with Khalid)","Billie Eilish",10003553,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
55,"10,000 Hours (with Justin Bieber)","Dan + Shay",9978828,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
56,"Me Gusta",Shakira,9665067,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
57,"Give No Fxk",Migos,9652399,https://open.spotify.com/track/6ZelF5APDN5r6XnFqcnvWR
58,Rare,"Selena Gomez",9639631,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
59,"Ballin' (with Roddy Ricch)",Mustard,9566768,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
60,"HIGHEST IN THE ROOM","Travis Scott",9563954,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
61,"Come Around Me","Justin Bieber",9533583,https://open.spotify.com/track/2o9LAypwGH4ctV0i9boo6d
62,China,"Anuel AA",9486160,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
63,"Beautiful People (feat. Khalid)","Ed Sheeran",9249238,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
64,Habitual,"Justin Bieber",9120086,https://open.spotify.com/track/40qyPyljksBEqlNw5sW37T
65,"All Around Me","Justin Bieber",9010535,https://open.spotify.com/track/5Py8zRKGkZvgHniVVtvNCN
66,"Lucid Dreams","Juice WRLD",8937745,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
67,"If The World Was Ending (feat. Julia Michaels)","JP Saxe",8737510,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
68,"death bed (feat. beabadoobee)",Powfu,8718278,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
69,"After Hours","The Weeknd",8621169,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
70,"WHATS POPPIN","Jack Harlow",8600104,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
71,Shallow,"Lady Gaga",8458950,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
72,"Get Me (feat. Kehlani)","Justin Bieber",8362828,https://open.spotify.com/track/5VwwpU7KsLhgfbMEecedhJ
73,"No Idea","Don Toliver",8304749,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
74,"No Me Conoce - Remix","Jhay Cortez",8286893,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
75,"LA CANCIÓN","J Balvin",8284178,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
